Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Brown	Corrine		C	FL10	2022	7/24/2022	10050045
	Brown	Jesse		C	MA09	2022	8/15/2022	10046441
	Brown	Jesse		X	MA09	2022	5/6/2022	30016402
	Brown	Mary Kathleen		C	TX13	2022	6/27/2022	8219037
Hon.	Brown	Shontel M.		O	OH11	2022	8/12/2022	8219168
Hon.	Brown	Shontel M.		X	OH11	2022	5/16/2022	30017334
Hon.	Buchanan	Vern		P	FL16	2022	1/17/2022	20020238
Hon.	Buchanan	Vern		P	FL16	2022	3/24/2022	20020684
	Buckner	Dwayne		C	SC06	2022	5/11/2022	10047999
	Budzinski	Nikki		C	IL13	2022	5/13/2022	10047073
	Bunn	James (Jim)		C	OR06	2022	4/13/2022	10045045
	Buongiorno	Jeffrey D.		C	FL21	2022	7/20/2022	10050016
	Buongiorno	Jeffrey D.		X	FL21	2022	7/21/2022	8219108
	Burau	Justin		C	IL03	2022	5/17/2022	10046282
	Burg	David Loren		W	NJ04	2022	4/28/2022	7849
Hon.	Burgess	Michael C.		P	TX26	2022	1/27/2022	20020305
Hon.	Burgess	Michael C.		P	TX26	2022	2/10/2022	20020315
Hon.	Burgess	Michael C.		P	TX26	2022	3/3/2022	20020545
Hon.	Burgess	Michael C.		P	TX26	2022	3/23/2022	20020632
Hon.	Burgess	Michael C.		P	TX26	2022	4/15/2022	20020798
Hon.	Burgess	Michael C.		P	TX26	2022	4/29/2022	20020895
Hon.	Burgess	Michael C.		P	TX26	2022	6/3/2022	20021120
Hon.	Burgess	Michael C.		P	TX26	2022	6/27/2022	20021277
Hon.	Burgess	Michael C.		P	TX26	2022	6/27/2022	20021279
Hon.	Burgess	Michael C.		P	TX26	2022	8/5/2022	20021443
Mr.	Burleson	William Wade		C	OK03	2022	5/16/2022	10048042
	Burlison	Eric		C	MO07	2022	7/1/2022	10046948
	Burlison	Eric		X	MO07	2022	5/12/2022	30016587
	Burril	Matthew		C	NC11	2022	5/16/2022	10049239
	Butler	Darrius Maurice		C	GA08	2022	5/14/2022	10048779
	Buttar	Shahid		C	CA12	2022	5/31/2022	10049577
	Bye	Chris		C	AK00	2022	5/24/2022	10048906
	Cabrera	Ed		C	TX28	2022	4/15/2022	10046242
	Calabrese	Curtis		C	FL22	2022	4/25/2022	10046799
	Call	Jason		C	WA02	2022	5/16/2022	10048927
	Campbell	Heidi		C	TN05	2022	4/18/2022	10046370
	Campbell	William		C	UT01	2022	3/7/2022	10044673
	Canepa	David		C	CA15	2022	5/16/2022	10046238
	Cannata	David B.		D	MA04	2022	8/30/2022	40003404
	Canning	Doyle		C	OR04	2022	5/27/2022	10049420
	Cannon	Tina		X	UT01	2022	3/16/2022	30015279
	Cao	Hung		C	VA10	2022	4/21/2022	10046564
	Caraveo	Yadira		C	CO08	2022	5/16/2022	10048369
	Carbonaro	Anthony Michael		C	MI13	2022	6/23/2022	10049841
Dr.	Carcamo	Rafael		C	CA35	2022	4/1/2022	10044741
	Carey	Jan		C	NC14	2022	4/17/2022	10046306
Hon.	Carey	Mike		H	OH15	2022	8/12/2022	10050139
Hon.	Carey	Mike		X	OH15	2022	5/17/2022	8218823
Mr.	Carlson	Eric Joseph		D	IL01	2022	7/28/2022	8219132
	Carnahan	Jennifer		C	MN01	2022	5/16/2022	10047025
	Carroll	Mark Joseph		A	IL11	2022	6/14/2022	10049660
	Carroll	Mark Joseph		C	IL11	2022	5/23/2022	10048157
	Carroll	Mark Joseph		X	IL11	2022	6/3/2022	30017187
	Carson	Paulette		C	TX17	2022	5/7/2022	10047666
Hon.	Carter	Earl Leroy		P	GA01	2022	2/9/2022	20020422
	Cartwright	Nicholas		W	AR02	2022	4/28/2022	7840
	Caruso	Elizabeth		C	ME02	2022	5/20/2022	10049346
	Casar	Greg		C	TX35	2022	5/12/2022	10046817
	Castelli	Matt		C	NY21	2022	5/16/2022	10048899
	Castillo	Jose		C	FL09	2022	6/17/2022	10049806
	Catala	Ryan Joshua		C	TX12	2022	5/6/2022	10047559
	Cavener	Mark		C	OR02	2022	4/15/2022	10046232
Hon.	Cawthorn	David Madison		P	NC11	2022	5/27/2022	20020894
Hon.	Cawthorn	David Madison		P	NC11	2022	6/8/2022	20021112
Hon.	Cawthorn	David Madison		P	NC11	2022	6/8/2022	20021170
	Cenedella	Marc Christian		W		2022		8219098
Mr.	Chaires	Justin Raphael		W		2022		8218766
	Chavez-Deremer	Lori		C	OR05	2022	7/14/2022	10047911
	Chavez-Deremer	Lori		X	OR05	2022	6/7/2022	30016720
	Chehade	Iymen		C	IL03	2022	5/16/2022	10047681
	Chen	Jay		C	CA45	2022	5/16/2022	10046951
	Cheney	Jamie		C	NY19	2022	8/2/2022	8219133
	Chess	Steven		C	FL22	2022	4/15/2022	10046219
	Chima	Harpreet Singh		C	CA09	2022	6/7/2022	10049697
	Ching	Eric J.		A	CA38	2022	7/7/2022	10049935
	Ching	Eric J.		C	CA38	2022	7/7/2022	10049932
Hon.	Chu	Judy		P	CA27	2022	1/29/2022	20020330
	Chuba	Jon		A	FL05	2022	6/7/2022	10049690
	Chuba	Jon		C	FL05	2022	5/5/2022	10046251
Mrs.	Ciarcia	Gina Renee		C	VA07	2022	5/16/2022	10048645
	Ciarrocchi	Guy		C	PA06	2022	4/15/2022	10044729
	Ciscomani	Juan		C	AZ06	2022	5/16/2022	10047922
	Cisneros	Jessica		C	TX28	2022	5/12/2022	10048428
Hon.	Clark	Katherine M.		P	MA05	2022	4/12/2022	20020731
Hon.	Clark	Katherine M.		P	MA05	2022	5/2/2022	20020917
Hon.	Clark	Katherine M.		P	MA05	2022	8/16/2022	20021441
	Clarmont	Shaun Michael		C	WI08	2022	7/26/2022	10050054
	Claus	Santa		D	AK00	2022	4/28/2022	40003339
	Clifford	Sianay Chase		C	VT00	2022	5/19/2022	10049405
	Clynch	Sean R.		C	WA05	2022	6/28/2022	10049811
	Coatney	David Adam		C	NC11	2022	5/1/2022	10047128
	Coatney	David Adam		C	NC11	2022	5/1/2022	10047128
